timestamp,name,class,level,fcr,teleportTime,killTime,viperQuit,coldImmune
2023-08-15T13:30:54.941Z,sighbertwo,Sorceress,94,143,4829,,1,
2023-08-15T13:30:52.632Z,sighberthree,Sorceress,95,114,4875,8343,,
2023-08-15T13:34:30.493Z,sighbertwo,Sorceress,94,143,5875,,,
2023-08-15T13:34:31.019Z,sighberthree,Sorceress,95,114,5235,7469,,
2023-08-15T13:38:05.830Z,sighbertwo,Sorceress,94,143,5297,3687,,
2023-08-15T13:38:07.837Z,sighberthree,Sorceress,95,114,5734,12500,,
2023-08-15T13:41:27.206Z,sighberthree,Sorceress,95,114,4875,,1,
2023-08-15T13:41:53.885Z,sighbertwo,Sorceress,94,143,4859,,1,
2023-08-15T13:45:21.473Z,sighberthree,Sorceress,95,114,4843,,,
2023-08-15T13:45:18.456Z,sighbertwo,Sorceress,94,143,5015,5922,,
2023-08-15T13:48:40.040Z,sighberthree,Sorceress,95,114,5344,,,
2023-08-15T13:48:49.605Z,sighbertwo,Sorceress,94,143,5297,22391,,
2023-08-15T13:52:34.277Z,sighberthree,Sorceress,95,114,5265,,,
2023-08-15T13:52:37.256Z,sighbertwo,Sorceress,94,143,5281,,,
2023-08-15T13:55:52.760Z,sighbertwo,Sorceress,94,143,5234,,1,
2023-08-15T13:59:05.327Z,sighberthree,Sorceress,95,114,5250,,1,
2023-08-15T13:59:29.057Z,sighbertwo,Sorceress,94,143,4891,18000,,
2023-08-15T14:00:38.470Z,sighberthree,Sorceress,95,114,5438,,,
2023-08-15T14:03:21.747Z,sighbertwo,Sorceress,94,143,5234,,1,
2023-08-15T14:04:27.854Z,sighberthree,Sorceress,95,114,5234,,1,
2023-08-15T14:06:41.866Z,sighbertwo,Sorceress,94,143,4906,,1,
2023-08-15T14:08:14.228Z,sighberthree,Sorceress,95,114,4985,11968,,
2023-08-15T14:10:18.112Z,sighbertwo,Sorceress,94,143,4954,,1,
2023-08-15T14:11:42.942Z,sighberthree,Sorceress,95,114,5828,,1,
2023-08-15T14:14:14.093Z,sighbertwo,Sorceress,94,143,5766,25187,,
2023-08-15T14:15:34.044Z,sighberthree,Sorceress,95,114,4859,,1,
2023-08-15T14:17:45.934Z,sighbertwo,Sorceress,94,143,5125,,,
2023-08-15T14:18:40.252Z,sighberthree,Sorceress,95,114,4937,8375,,
2023-08-15T14:21:28.709Z,sighbertwo,Sorceress,94,143,4891,,1,
2023-08-15T14:22:40.688Z,sighberthree,Sorceress,95,114,4922,2094,,
2023-08-15T14:25:06.294Z,sighbertwo,Sorceress,94,143,5750,9297,,
2023-08-15T14:26:09.374Z,sighberthree,Sorceress,95,114,5000,19219,,
2023-08-15T14:28:45.886Z,sighbertwo,Sorceress,94,143,5266,3000,,
2023-08-15T14:29:46.898Z,sighberthree,Sorceress,95,114,4969,,1,
2023-08-15T14:32:13.232Z,sighbertwo,Sorceress,94,143,5438,,1,
2023-08-15T14:33:27.551Z,sighberthree,Sorceress,95,114,4844,,,
2023-08-15T14:35:47.300Z,sighbertwo,Sorceress,94,143,4828,9343,,
2023-08-15T14:37:00.920Z,sighberthree,Sorceress,95,114,4875,11718,,
2023-08-15T14:39:31.005Z,sighbertwo,Sorceress,94,143,5781,,1,
2023-08-15T14:40:40.793Z,sighberthree,Sorceress,95,114,4797,5282,,
2023-08-15T14:43:05.194Z,sighbertwo,Sorceress,94,143,5266,,,
2023-08-15T14:44:16.166Z,sighberthree,Sorceress,95,114,5781,,1,
2023-08-15T14:46:46.256Z,sighbertwo,Sorceress,94,143,5750,6844,,
2023-08-15T14:47:47.066Z,sighberthree,Sorceress,95,114,5750,7750,,
2023-08-15T14:50:17.098Z,sighbertwo,Sorceress,94,143,5765,,1,
2023-08-15T14:51:35.154Z,sighberthree,Sorceress,95,114,5281,,1,
2023-08-15T14:53:57.817Z,sighbertwo,Sorceress,94,143,5750,,1,
2023-08-15T14:54:50.257Z,sighberthree,Sorceress,95,114,4984,13500,,
2023-08-15T14:57:29.356Z,sighbertwo,Sorceress,94,143,4937,4485,,
2023-08-15T14:58:47.767Z,sighberthree,Sorceress,95,114,5296,,1,
2023-08-15T15:01:07.793Z,sighbertwo,Sorceress,94,143,5750,,,
2023-08-15T15:02:30.537Z,sighberthree,Sorceress,95,114,5859,,1,
2023-08-15T15:04:43.440Z,sighbertwo,Sorceress,94,143,4984,,1,
2023-08-15T15:05:55.994Z,sighberthree,Sorceress,95,114,5203,,1,
2023-08-15T15:08:19.398Z,sighbertwo,Sorceress,94,143,4922,8281,,
2023-08-15T15:09:31.503Z,sighberthree,Sorceress,95,114,4953,2015,,
2023-08-15T15:11:57.740Z,sighbertwo,Sorceress,94,143,5812,,1,
2023-08-15T15:13:14.250Z,sighberthree,Sorceress,95,114,4859,,,
2023-08-15T15:15:33.267Z,sighbertwo,Sorceress,94,143,4875,6734,,
2023-08-15T15:16:45.632Z,sighberthree,Sorceress,95,114,5188,10000,,
2023-08-15T15:19:09.136Z,sighbertwo,Sorceress,94,143,5734,9391,,
2023-08-15T15:20:20.063Z,sighberthree,Sorceress,95,114,4891,2109,,
2023-08-15T15:22:42.783Z,sighbertwo,Sorceress,94,143,5797,,,
2023-08-15T15:24:01.145Z,sighberthree,Sorceress,95,114,4922,9453,,
2023-08-15T15:26:21.889Z,sighbertwo,Sorceress,94,143,5766,,1,
2023-08-15T15:27:40.281Z,sighberthree,Sorceress,95,114,4907,,1,
2023-08-15T15:31:09.927Z,sighberthree,Sorceress,95,114,4953,,1,
2023-08-15T15:32:31.562Z,sighbertwo,Sorceress,94,143,4922,,1,
2023-08-15T15:34:45.855Z,sighberthree,Sorceress,95,114,4922,3797,,
2023-08-15T15:36:08.963Z,sighbertwo,Sorceress,94,143,4922,30046,,
2023-08-15T15:38:20.281Z,sighberthree,Sorceress,95,114,4968,,1,
2023-08-15T15:39:39.044Z,sighbertwo,Sorceress,94,143,4891,22828,,
2023-08-15T15:41:56.670Z,sighberthree,Sorceress,95,114,5141,,1,
2023-08-15T15:43:37.629Z,sighbertwo,Sorceress,94,143,5157,5328,,
2023-08-15T15:45:19.438Z,sighberthree,Sorceress,95,114,5297,4906,,
2023-08-15T15:47:02.412Z,sighbertwo,Sorceress,94,143,4844,5328,,
2023-08-15T15:49:20.014Z,sighberthree,Sorceress,95,114,5172,,1,
