timestamp,name,class,level,fcr,teleportTime,killTime,viperQuit,coldImmune
2023-08-22T16:27:08.436Z,sighberthree,Sorceress,95,114,4907,,1,
2023-08-22T16:30:19.150Z,sighbertwo,Sorceress,94,143,5750,,1,
2023-08-22T16:30:30.554Z,sighberthree,Sorceress,95,114,5828,10875,,
2023-08-22T16:33:57.698Z,sighbertwo,Sorceress,94,143,5219,,1,
2023-08-22T16:34:13.115Z,sighberthree,Sorceress,95,114,4891,,,
2023-08-22T16:37:43.304Z,sighberthree,Sorceress,95,114,5781,,,
2023-08-22T16:37:45.087Z,sighbertwo,Sorceress,94,143,4875,,1,
2023-08-22T16:41:13.651Z,sighbertwo,Sorceress,94,143,4875,5281,,
2023-08-22T16:41:31.262Z,sighberthree,Sorceress,95,114,5812,8313,,
2023-08-22T16:44:33.647Z,sighbertwo,Sorceress,94,143,4938,,,
2023-08-22T16:45:02.189Z,sighberthree,Sorceress,95,114,4828,7672,,
2023-08-22T16:48:22.537Z,sighberthree,Sorceress,95,114,5703,6781,,
2023-08-22T16:48:31.399Z,sighbertwo,Sorceress,94,143,5750,,,
2023-08-22T16:52:05.488Z,sighbertwo,Sorceress,94,143,4891,14797,,
2023-08-22T16:52:19.635Z,sighberthree,Sorceress,95,114,5219,4000,,
2023-08-22T16:55:22.732Z,sighbertwo,Sorceress,94,143,5329,17406,,
2023-08-22T16:56:03.045Z,sighberthree,Sorceress,95,114,5703,,1,
2023-08-22T16:59:11.474Z,sighberthree,Sorceress,95,114,5250,,,
2023-08-22T16:59:13.765Z,sighbertwo,Sorceress,94,143,5735,14703,,
2023-08-22T17:02:57.332Z,sighbertwo,Sorceress,94,143,4875,,,
2023-08-22T17:03:10.793Z,sighberthree,Sorceress,95,114,5188,5140,,
2023-08-22T17:06:28.446Z,sighbertwo,Sorceress,94,143,5828,,1,
2023-08-22T17:06:45.072Z,sighberthree,Sorceress,95,114,5734,,1,
2023-08-22T17:09:48.684Z,sighbertwo,Sorceress,94,143,4922,,1,
2023-08-22T17:10:18.865Z,sighberthree,Sorceress,95,114,5282,32390,,
2023-08-22T17:13:40.978Z,sighbertwo,Sorceress,94,143,5781,5610,,
2023-08-22T17:14:00.782Z,sighberthree,Sorceress,95,114,4859,15313,,
2023-08-22T17:17:15.569Z,sighbertwo,Sorceress,94,143,5766,,,
2023-08-22T17:17:37.371Z,sighberthree,Sorceress,95,114,5734,,,
2023-08-22T17:20:57.379Z,sighbertwo,Sorceress,94,143,5313,,1,
2023-08-22T17:21:04.623Z,sighberthree,Sorceress,95,114,6672,,1,
2023-08-22T17:24:40.259Z,sighbertwo,Sorceress,94,143,4875,7110,,
2023-08-22T17:24:47.819Z,sighberthree,Sorceress,95,114,4938,5687,,
2023-08-22T17:28:11.386Z,sighbertwo,Sorceress,94,143,4875,,,
2023-08-22T17:28:23.071Z,sighberthree,Sorceress,95,114,4860,,1,
2023-08-22T17:31:26.362Z,sighbertwo,Sorceress,94,143,5829,,1,
2023-08-22T17:31:55.862Z,sighberthree,Sorceress,95,114,4875,,1,
2023-08-22T17:35:21.548Z,sighbertwo,Sorceress,94,143,5218,,1,
2023-08-22T17:35:24.659Z,sighberthree,Sorceress,95,114,5281,,1,
2023-08-22T17:38:54.716Z,sighbertwo,Sorceress,94,143,6344,,1,
2023-08-22T17:39:28.112Z,sighberthree,Sorceress,95,114,5750,,,
2023-08-22T17:42:15.311Z,sighbertwo,Sorceress,94,143,4766,9937,,
2023-08-22T17:43:06.681Z,sighberthree,Sorceress,95,114,4891,65484,,
2023-08-22T17:46:08.236Z,sighbertwo,Sorceress,94,143,5329,,1,
2023-08-22T17:47:03.502Z,sighberthree,Sorceress,95,114,4891,4734,,
2023-08-22T17:49:47.340Z,sighbertwo,Sorceress,94,143,5766,17187,,
2023-08-22T17:50:38.474Z,sighberthree,Sorceress,95,114,4860,,,
2023-08-22T17:53:25.598Z,sighbertwo,Sorceress,94,143,5875,,,
2023-08-22T17:54:09.420Z,sighberthree,Sorceress,95,114,5281,4110,,
2023-08-22T17:56:51.183Z,sighbertwo,Sorceress,94,143,4859,10235,,
2023-08-22T17:57:52.138Z,sighberthree,Sorceress,95,114,4922,,1,
2023-08-22T18:00:17.135Z,sighbertwo,Sorceress,94,143,5250,,1,
2023-08-22T18:01:25.787Z,sighberthree,Sorceress,95,114,5828,22141,,
2023-08-22T18:03:53.522Z,sighbertwo,Sorceress,94,143,5157,3578,,
2023-08-22T18:04:42.561Z,sighberthree,Sorceress,95,114,4906,,1,
2023-08-22T18:07:44.272Z,sighbertwo,Sorceress,94,143,4953,,1,
2023-08-22T18:08:38.557Z,sighberthree,Sorceress,95,114,4859,6688,,
2023-08-22T18:11:06.148Z,sighbertwo,Sorceress,94,143,5328,9390,,
2023-08-22T18:12:10.992Z,sighberthree,Sorceress,95,114,4891,5172,,
2023-08-22T18:14:42.927Z,sighbertwo,Sorceress,94,143,5844,,1,
2023-08-22T18:15:53.310Z,sighberthree,Sorceress,95,114,4906,,1,
2023-08-22T18:18:18.934Z,sighbertwo,Sorceress,94,143,5766,54063,,
2023-08-22T18:19:27.820Z,sighberthree,Sorceress,95,114,5187,,1,
2023-08-22T18:21:55.210Z,sighbertwo,Sorceress,94,143,4906,4360,,
2023-08-22T18:22:59.208Z,sighberthree,Sorceress,95,114,5766,7890,,
2023-08-22T18:25:53.682Z,sighbertwo,Sorceress,94,143,4875,4875,,
2023-08-22T18:26:38.915Z,sighberthree,Sorceress,95,114,5891,,,
2023-08-22T18:29:27.151Z,sighbertwo,Sorceress,94,143,4969,11187,,
2023-08-22T18:30:13.003Z,sighberthree,Sorceress,95,114,5250,7516,,
2023-08-22T18:32:54.603Z,sighbertwo,Sorceress,94,143,5235,3578,,
2023-08-22T18:33:50.075Z,sighberthree,Sorceress,95,114,4891,,,
2023-08-22T18:36:37.838Z,sighbertwo,Sorceress,94,143,5844,13625,,
2023-08-22T18:37:09.466Z,sighberthree,Sorceress,95,114,5172,,1,
2023-08-22T18:40:16.219Z,sighbertwo,Sorceress,94,143,4860,,1,
2023-08-22T18:41:01.381Z,sighberthree,Sorceress,95,114,5250,11609,,
2023-08-22T18:43:57.948Z,sighbertwo,Sorceress,94,143,5813,18531,,
2023-08-22T18:44:22.414Z,sighberthree,Sorceress,95,114,5797,984,,
2023-08-22T18:47:25.239Z,sighbertwo,Sorceress,94,143,5906,,,
2023-08-22T18:48:14.853Z,sighberthree,Sorceress,95,114,5250,4907,,
2023-08-22T18:51:02.242Z,sighbertwo,Sorceress,94,143,5782,,1,
2023-08-22T18:54:37.892Z,sighbertwo,Sorceress,94,143,5312,6532,,
2023-08-22T18:58:14.606Z,sighbertwo,Sorceress,94,143,4875,,,
2023-08-22T18:58:58.682Z,sighberthree,Sorceress,95,114,4781,,,
2023-08-22T19:01:50.505Z,sighbertwo,Sorceress,94,143,4891,2078,,
2023-08-22T19:02:36.032Z,sighberthree,Sorceress,95,114,4844,,1,
2023-08-22T19:05:11.372Z,sighbertwo,Sorceress,94,143,4843,26360,,
2023-08-22T19:06:06.649Z,sighberthree,Sorceress,95,114,5781,,1,
2023-08-22T19:09:03.276Z,sighbertwo,Sorceress,94,143,4891,,1,
2023-08-22T19:09:37.773Z,sighberthree,Sorceress,95,114,5766,,1,
2023-08-22T19:13:28.762Z,sighberthree,Sorceress,95,114,5765,6954,,
2023-08-22T19:14:48.759Z,sighbertwo,Sorceress,94,143,5813,9422,,
2023-08-22T19:17:01.603Z,sighberthree,Sorceress,95,114,4891,4828,,
2023-08-22T19:17:30.716Z,sighbertwo,Sorceress,94,143,4921,7547,,
2023-08-22T19:20:37.906Z,sighberthree,Sorceress,95,114,4860,,1,
2023-08-22T19:21:07.139Z,sighbertwo,Sorceress,94,143,4906,,1,
2023-08-22T19:24:15.796Z,sighberthree,Sorceress,95,114,4953,6125,,
2023-08-22T19:24:40.194Z,sighbertwo,Sorceress,94,143,5813,6922,,
2023-08-22T19:27:29.835Z,sighberthree,Sorceress,95,114,5234,,,
2023-08-22T19:28:20.104Z,sighbertwo,Sorceress,94,143,5172,13563,,
2023-08-22T19:31:22.468Z,sighberthree,Sorceress,95,114,5219,,1,
2023-08-22T19:31:37.305Z,sighbertwo,Sorceress,94,143,5188,,1,
2023-08-22T19:34:57.699Z,sighberthree,Sorceress,95,114,5219,4594,,
2023-08-22T19:35:27.347Z,sighbertwo,Sorceress,94,143,5719,12000,,
2023-08-22T19:38:18.775Z,sighberthree,Sorceress,95,114,4797,,1,
2023-08-22T19:39:04.497Z,sighbertwo,Sorceress,94,143,4875,5984,,
2023-08-22T19:41:55.111Z,sighberthree,Sorceress,95,114,5703,21187,,
2023-08-22T19:42:45.275Z,sighbertwo,Sorceress,94,143,5750,,1,
2023-08-22T19:45:48.171Z,sighberthree,Sorceress,95,114,4984,5188,,
2023-08-22T19:46:17.923Z,sighbertwo,Sorceress,94,143,4938,,1,
2023-08-22T19:49:29.849Z,sighberthree,Sorceress,95,114,5094,,1,
2023-08-22T19:49:59.816Z,sighbertwo,Sorceress,94,143,5187,,1,
2023-08-22T19:52:53.839Z,sighberthree,Sorceress,95,114,5703,,1,
2023-08-22T19:53:29.969Z,sighbertwo,Sorceress,94,143,4906,,,
2023-08-22T19:56:36.006Z,sighberthree,Sorceress,95,114,4859,,1,
2023-08-22T19:56:53.150Z,sighbertwo,Sorceress,94,143,5172,,1,
2023-08-22T20:00:16.496Z,sighberthree,Sorceress,95,114,5688,,,
2023-08-22T20:00:29.511Z,sighbertwo,Sorceress,94,143,4844,,,
2023-08-22T20:04:36.450Z,sighberthree,Sorceress,95,114,5266,7422,,
2023-08-22T20:08:13.161Z,sighbertwo,Sorceress,94,143,5141,2093,,
2023-08-22T20:08:11.038Z,sighberthree,Sorceress,95,114,4859,31485,,
2023-08-22T20:11:18.557Z,sighbertwo,Sorceress,94,143,4844,,,
2023-08-22T20:11:45.494Z,sighberthree,Sorceress,95,114,5782,,1,
2023-08-22T20:15:04.383Z,sighbertwo,Sorceress,94,143,5250,,1,
2023-08-22T20:15:08.573Z,sighberthree,Sorceress,95,114,4890,3688,,
2023-08-22T20:18:51.510Z,sighbertwo,Sorceress,94,143,5719,2078,,
2023-08-22T20:19:00.905Z,sighberthree,Sorceress,95,114,4875,6875,,
2023-08-22T20:22:38.002Z,sighberthree,Sorceress,95,114,4750,,1,
2023-08-22T20:22:28.229Z,sighbertwo,Sorceress,94,143,5687,12406,,
2023-08-22T20:25:43.947Z,sighbertwo,Sorceress,94,143,5172,5281,,
2023-08-22T20:26:12.688Z,sighberthree,Sorceress,95,114,5188,14391,,
2023-08-22T20:29:40.662Z,sighbertwo,Sorceress,94,143,4844,,1,
2023-08-22T20:29:59.460Z,sighberthree,Sorceress,95,114,5204,3031,,
2023-08-22T20:32:56.635Z,sighbertwo,Sorceress,94,143,5688,,,
2023-08-22T20:33:36.398Z,sighberthree,Sorceress,95,114,4828,7172,,
2023-08-22T20:37:12.445Z,sighberthree,Sorceress,95,114,5703,15437,,
2023-08-22T20:41:24.674Z,sighbertwo,Sorceress,94,143,5156,,,
2023-08-22T20:42:39.647Z,sighberthree,Sorceress,95,114,5219,,1,
2023-08-22T20:45:34.983Z,sighbertwo,Sorceress,94,143,4985,4765,,
2023-08-22T20:46:30.986Z,sighberthree,Sorceress,95,114,4843,,,
2023-08-22T20:49:10.684Z,sighbertwo,Sorceress,94,143,5156,5828,,
2023-08-22T20:50:12.955Z,sighberthree,Sorceress,95,114,5219,,1,
2023-08-22T20:52:25.757Z,sighbertwo,Sorceress,94,143,5219,,1,
2023-08-22T20:53:52.232Z,sighberthree,Sorceress,95,114,5203,10750,,
2023-08-22T20:56:23.054Z,sighbertwo,Sorceress,94,143,4875,6329,,
2023-08-22T20:57:37.602Z,sighberthree,Sorceress,95,114,5640,,,
2023-08-22T20:59:58.146Z,sighbertwo,Sorceress,94,143,5765,,1,
2023-08-22T21:01:21.801Z,sighberthree,Sorceress,95,114,5703,,1,
2023-08-22T21:03:34.631Z,sighbertwo,Sorceress,94,143,4828,,1,
2023-08-22T21:04:35.211Z,sighberthree,Sorceress,95,114,5719,,1,
2023-08-22T21:08:27.140Z,sighbertwo,Sorceress,94,143,5203,,,
2023-08-22T21:08:32.895Z,sighberthree,Sorceress,95,114,4875,,1,
2023-08-22T21:11:58.641Z,sighbertwo,Sorceress,94,143,5172,,1,
2023-08-22T21:12:10.650Z,sighberthree,Sorceress,95,114,4828,15828,,
2023-08-22T21:15:36.173Z,sighbertwo,Sorceress,94,143,4891,,1,
2023-08-22T21:15:24.195Z,sighberthree,Sorceress,95,114,4891,66453,,
2023-08-22T21:18:56.471Z,sighbertwo,Sorceress,94,143,4843,,1,
2023-08-22T21:19:21.878Z,sighberthree,Sorceress,95,114,4843,,1,
2023-08-22T21:22:53.163Z,sighbertwo,Sorceress,94,143,4860,,1,
2023-08-22T21:22:57.724Z,sighberthree,Sorceress,95,114,4859,,1,
2023-08-22T21:26:09.230Z,sighbertwo,Sorceress,94,143,4922,,1,
2023-08-22T21:26:28.888Z,sighberthree,Sorceress,95,114,4859,,1,
2023-08-22T21:30:02.202Z,sighbertwo,Sorceress,94,143,4844,,,
2023-08-22T21:30:10.238Z,sighberthree,Sorceress,95,114,4922,4484,,
2023-08-22T21:33:43.869Z,sighberthree,Sorceress,95,114,4843,,1,
2023-08-22T21:33:40.810Z,sighbertwo,Sorceress,94,143,5735,13296,,
2023-08-22T21:37:12.876Z,sighbertwo,Sorceress,94,143,4937,,1,
2023-08-22T21:37:26.092Z,sighberthree,Sorceress,95,114,4828,,,
2023-08-22T21:40:50.154Z,sighbertwo,Sorceress,94,143,5297,,1,
2023-08-22T21:41:00.745Z,sighberthree,Sorceress,95,114,5187,,1,
2023-08-22T21:44:20.227Z,sighbertwo,Sorceress,94,143,4969,4297,,
2023-08-22T21:44:47.494Z,sighberthree,Sorceress,95,114,4859,,1,
2023-08-22T21:48:15.240Z,sighbertwo,Sorceress,94,143,4875,,1,
2023-08-22T21:48:28.012Z,sighberthree,Sorceress,95,114,5671,,,
2023-08-22T21:51:53.431Z,sighbertwo,Sorceress,94,143,5140,3594,,
2023-08-22T21:52:01.143Z,sighberthree,Sorceress,95,114,4844,9766,,
2023-08-22T21:55:23.474Z,sighbertwo,Sorceress,94,143,5765,,1,
2023-08-22T21:55:37.808Z,sighberthree,Sorceress,95,114,4875,,1,
2023-08-22T21:59:05.133Z,sighbertwo,Sorceress,94,143,5203,,1,
2023-08-22T21:59:15.094Z,sighberthree,Sorceress,95,114,5172,13594,,
2023-08-22T22:02:45.950Z,sighbertwo,Sorceress,94,143,5750,,1,
2023-08-22T22:02:52.038Z,sighberthree,Sorceress,95,114,5172,,1,
2023-08-22T22:06:23.251Z,sighbertwo,Sorceress,94,143,4843,,,
2023-08-22T22:06:32.679Z,sighberthree,Sorceress,95,114,4859,5391,,
2023-08-22T22:09:48.072Z,sighbertwo,Sorceress,94,143,4828,,,
2023-08-22T22:10:01.768Z,sighberthree,Sorceress,95,114,5875,11875,,
2023-08-22T22:13:34.698Z,sighbertwo,Sorceress,94,143,5187,4406,,
2023-08-22T22:13:40.575Z,sighberthree,Sorceress,95,114,4921,6813,,
2023-08-22T22:16:51.324Z,sighbertwo,Sorceress,94,143,5141,,1,
2023-08-22T22:17:21.035Z,sighberthree,Sorceress,95,114,5297,6860,,
2023-08-22T22:20:38.805Z,sighbertwo,Sorceress,94,143,4859,2079,,
2023-08-22T22:20:52.817Z,sighberthree,Sorceress,95,114,5750,,,
2023-08-22T22:24:25.239Z,sighbertwo,Sorceress,94,143,5156,,,
2023-08-22T22:24:28.674Z,sighberthree,Sorceress,95,114,4812,,1,
2023-08-22T22:27:40.290Z,sighbertwo,Sorceress,94,143,5703,,1,
2023-08-22T22:28:04.920Z,sighberthree,Sorceress,95,114,4922,,1,
2023-08-22T22:31:26.017Z,sighbertwo,Sorceress,94,143,5765,,,
2023-08-22T22:31:48.627Z,sighberthree,Sorceress,95,114,5875,7922,,
