timestamp,name,class,level,fcr,teleportTime,killTime,viperQuit,coldImmune
2023-08-19T12:26:06.040Z,sighberthree,Sorceress,95,114,5203,,1,
2023-08-19T12:26:12.412Z,sighbertwo,Sorceress,94,143,5188,,1,
2023-08-19T12:29:48.211Z,sighberthree,Sorceress,95,114,4922,,,
2023-08-19T12:29:56.219Z,sighbertwo,Sorceress,94,143,4875,,,
2023-08-19T12:33:26.864Z,sighbertwo,Sorceress,94,143,5203,,1,
2023-08-19T12:33:48.458Z,sighberthree,Sorceress,95,114,4812,23406,,
2023-08-19T12:37:26.870Z,sighbertwo,Sorceress,94,143,4937,6641,,
2023-08-19T12:37:45.160Z,sighberthree,Sorceress,95,114,4985,,1,
2023-08-19T12:41:17.167Z,sighberthree,Sorceress,95,114,5766,,,
2023-08-19T12:40:57.861Z,sighbertwo,Sorceress,94,143,5828,22203,,
2023-08-19T12:44:26.537Z,sighbertwo,Sorceress,94,143,5297,3234,,
2023-08-19T12:44:59.702Z,sighberthree,Sorceress,95,114,5203,5828,,
2023-08-19T12:47:53.499Z,sighbertwo,Sorceress,94,143,4812,,,
2023-08-19T12:48:33.745Z,sighberthree,Sorceress,95,114,5203,,,
2023-08-19T12:51:51.220Z,sighbertwo,Sorceress,94,143,4906,,1,
2023-08-19T12:52:06.468Z,sighberthree,Sorceress,95,114,5172,3265,,
2023-08-19T12:55:25.643Z,sighbertwo,Sorceress,94,143,5797,,,
2023-08-19T12:55:44.494Z,sighberthree,Sorceress,95,114,4875,,,
2023-08-19T12:58:58.820Z,sighbertwo,Sorceress,94,143,5735,,,
2023-08-19T12:59:29.249Z,sighberthree,Sorceress,95,114,5750,7781,,
2023-08-19T13:02:34.682Z,sighbertwo,Sorceress,94,143,5406,,,
2023-08-19T13:02:39.096Z,sighberthree,Sorceress,95,114,5875,,1,
2023-08-19T13:06:20.122Z,sighbertwo,Sorceress,94,143,4844,,1,
2023-08-19T13:06:32.558Z,sighberthree,Sorceress,95,114,5219,,,
2023-08-19T13:09:31.528Z,sighbertwo,Sorceress,94,143,5219,,,
2023-08-19T13:10:12.446Z,sighberthree,Sorceress,95,114,5234,,,
2023-08-19T13:13:26.384Z,sighbertwo,Sorceress,94,143,4875,,,
2023-08-19T13:13:43.459Z,sighberthree,Sorceress,95,114,4907,,,
2023-08-19T13:17:04.218Z,sighbertwo,Sorceress,94,143,4953,,,
2023-08-19T13:17:25.368Z,sighberthree,Sorceress,95,114,5266,,1,
2023-08-19T13:20:35.242Z,sighbertwo,Sorceress,94,143,4860,13515,,
2023-08-19T13:21:01.795Z,sighberthree,Sorceress,95,114,6312,,1,
2023-08-19T13:24:11.565Z,sighbertwo,Sorceress,94,143,4922,5766,,
2023-08-19T13:24:41.611Z,sighberthree,Sorceress,95,114,5688,,,
2023-08-19T13:27:50.406Z,sighbertwo,Sorceress,94,143,5250,,1,
2023-08-19T13:28:14.257Z,sighberthree,Sorceress,95,114,4891,23531,,
2023-08-19T13:31:29.981Z,sighberthree,Sorceress,95,114,4984,,,
2023-08-19T13:31:29.965Z,sighbertwo,Sorceress,94,143,4969,3719,,
2023-08-19T13:35:06.633Z,sighbertwo,Sorceress,94,143,5297,,1,
2023-08-19T13:35:33.037Z,sighberthree,Sorceress,95,114,5297,,1,
2023-08-19T13:38:43.696Z,sighbertwo,Sorceress,94,143,4844,,1,
2023-08-19T13:38:57.774Z,sighberthree,Sorceress,95,114,5281,3281,,
2023-08-19T13:42:19.059Z,sighberthree,Sorceress,95,114,5797,,,
2023-08-19T13:42:14.567Z,sighbertwo,Sorceress,94,143,5875,13718,,
2023-08-19T13:45:55.019Z,sighbertwo,Sorceress,94,143,4906,,1,
2023-08-19T13:46:10.318Z,sighberthree,Sorceress,95,114,5781,,1,
2023-08-19T13:49:31.445Z,sighbertwo,Sorceress,94,143,5312,,1,
2023-08-19T13:49:42.919Z,sighberthree,Sorceress,95,114,4984,,1,
2023-08-19T13:52:47.561Z,sighbertwo,Sorceress,94,143,5297,,,
2023-08-19T13:53:30.771Z,sighberthree,Sorceress,95,114,5828,,,
2023-08-19T13:56:40.189Z,sighbertwo,Sorceress,94,143,5765,6907,,
2023-08-19T13:57:03.539Z,sighberthree,Sorceress,95,114,5359,4562,,
2023-08-19T14:00:00.263Z,sighbertwo,Sorceress,94,143,4844,16719,,
2023-08-19T14:00:41.864Z,sighberthree,Sorceress,95,114,4860,2125,,
2023-08-19T14:03:52.340Z,sighbertwo,Sorceress,94,143,5750,,1,
2023-08-19T14:04:17.949Z,sighberthree,Sorceress,95,114,5734,,1,
2023-08-19T14:07:32.469Z,sighbertwo,Sorceress,94,143,5844,7281,,
2023-08-19T14:07:49.561Z,sighberthree,Sorceress,95,114,4875,,1,
2023-08-19T14:11:05.245Z,sighbertwo,Sorceress,94,143,4953,,1,
2023-08-19T14:11:09.758Z,sighberthree,Sorceress,95,114,5875,5719,,
